timestep,Q_sim_mm_d,Ea_sim_mm_d,Q_obs_mm_d
732,6.888146,0.471932,3.893318
733,7.125912,0.503434,2.904205
734,7.335006,0.435647,2.420170
735,7.492241,0.520150,2.146586
736,7.585964,0.596240,1.889837
737,7.628826,0.591623,2.209721
738,7.660416,0.505764,2.777935
739,7.573202,0.518758,2.378081
740,7.495488,0.529048,2.209721
741,7.425793,0.622274,3.724958
742,7.348688,0.589929,3.746003
743,7.231348,0.490569,2.967339
744,7.110903,0.571727,2.420170
745,6.988428,0.602999,2.146586
746,6.851834,0.622246,1.999271
747,6.704517,0.643281,1.851957
748,6.525269,0.621400,1.662552
749,6.331903,0.660673,1.534178
750,6.123413,0.674360,1.452102
751,5.902487,0.586195,1.359504
752,5.667856,0.461217,1.254280
753,5.425427,0.547148,1.165891
754,5.177676,0.642035,1.083815
755,4.927250,0.598232,1.035412
756,4.676756,0.653795,0.993322
757,4.428611,0.685800,0.963859
758,4.184967,0.703314,0.957546
759,3.949607,0.817010,0.951232
760,3.720143,0.772658,0.934396
761,3.512095,0.686268,0.911247
762,3.303912,0.684038,0.877575
763,3.115208,0.738342,0.875470
764,2.942210,0.800674,0.871261
765,2.782201,0.952066,0.864948
766,2.633238,0.897255,0.873366
767,2.522134,0.688180,1.024890
768,2.427697,0.861488,1.081711
769,2.326548,0.619447,1.066980
770,2.273756,0.770798,1.037517
771,2.248974,0.985870,1.020681
772,2.238062,0.956128,1.001740
773,2.231500,0.962091,0.972277
774,2.223176,0.928817,1.290056
775,2.271443,0.868618,4.419442
776,2.298813,0.782300,4.040632
777,2.317653,0.630679,2.735845
778,2.394004,0.778935,3.767048
779,2.559036,0.965898,28.410697
780,2.864453,0.892884,50.928805
781,3.188365,1.028979,37.880929
782,3.524629,1.171518,8.965153
783,4.050423,1.239183,5.134970
784,4.691121,1.303607,3.872273
785,5.351520,1.295096,3.177789
786,5.969851,1.322135,2.609575
787,6.508533,0.995688,2.314946
788,6.947466,1.200580,2.060302
789,7.278848,1.384730,1.835121
790,7.503263,1.469612,1.786717
791,7.635669,1.255730,2.378081
792,7.681857,1.419277,2.399126
793,7.658981,0.949688,2.441215
794,7.563902,1.400725,2.293901
795,7.434718,1.701839,2.125541
796,7.271017,1.730639,1.961390
797,7.075161,1.178886,1.790926
798,6.851178,1.406565,1.647820
799,6.603971,1.462100,1.525760
800,6.338759,1.528475,1.437371
801,6.060703,1.579518,1.393176
802,5.778148,1.040115,1.397385
803,5.510307,1.153090,1.351086
804,5.223426,1.013789,1.262698
805,4.958822,1.564456,1.195354
806,4.710630,1.598198,1.153264
807,4.484171,1.101042,1.205876
808,4.286051,1.701264,1.199563
809,4.076520,1.919770,1.134323
810,3.900699,2.009384,1.094338
811,3.746421,1.629159,1.136428
812,3.641019,1.622230,9.322918
813,3.602168,2.204447,6.629163
814,3.500081,2.159330,3.619733
815,3.490476,2.296858,2.714800
816,3.529988,2.014867,2.293901
