date_ob,ob
3/14/2016,-0.198
3/15/2016,0.45
3/16/2016,1.052
3/17/2016,0.542
3/18/2016,0.008
3/19/2016,-0.126
3/20/2016,-0.121
3/21/2016,0.228
3/22/2016,-0.001
3/23/2016,-0.105
3/24/2016,-0.124
3/25/2016,0.248
3/26/2016,0.172
3/27/2016,-0.12
3/28/2016,0.601
3/29/2016,1.079
3/30/2016,1.689
3/31/2016,2.17
4/1/2016,1.617
4/2/2016,0.262
4/3/2016,-0.104
4/4/2016,-0.12
4/5/2016,-0.125
4/6/2016,-0.124
4/7/2016,-0.12
4/8/2016,-0.114
4/9/2016,-0.113
4/10/2016,-0.116
4/11/2016,-0.118
4/12/2016,-0.12
4/13/2016,-0.128
4/14/2016,-0.132
4/15/2016,1.905
4/16/2016,3.672
4/17/2016,2.135
4/18/2016,1.8
4/19/2016,2.825
4/20/2016,4.759
4/21/2016,7.906
4/22/2016,7.034
4/23/2016,4.075
4/24/2016,3.347
4/25/2016,3.834
4/26/2016,3.9
4/27/2016,4.27
4/28/2016,5.472
4/29/2016,5.728
4/30/2016,6.25
5/1/2016,7.038
5/2/2016,7.763
5/3/2016,9.45
5/4/2016,9.63
5/5/2016,9.27
5/6/2016,11.11
5/7/2016,11.15
5/8/2016,10.28
5/9/2016,10.59
5/10/2016,10.81
5/11/2016,10.34
5/12/2016,10.23
5/13/2016,9.28
5/14/2016,7.56
5/15/2016,7.363
5/16/2016,8.18
5/17/2016,9.25
5/18/2016,10.44
5/19/2016,11.03
5/20/2016,11.52
5/21/2016,12.02
5/22/2016,12.26
5/23/2016,12.51
5/24/2016,14.87
5/25/2016,14.88
5/26/2016,14.28
5/27/2016,13.95
5/28/2016,14.53
5/29/2016,14.77
5/30/2016,16.04
5/31/2016,17.22
6/1/2016,16.26
6/2/2016,14.55
6/3/2016,15.53
6/4/2016,16.34
6/5/2016,16.93
6/6/2016,17.84
6/7/2016,17.22
6/8/2016,17.19
6/9/2016,17.2
6/10/2016,18.02
6/11/2016,20.3
6/12/2016,19.36
6/13/2016,17.46
6/14/2016,18.85
6/15/2016,19.99
6/16/2016,20.5
6/17/2016,19.91
6/18/2016,20.64
6/19/2016,20.18
6/20/2016,21
6/21/2016,19.76
6/22/2016,19.7
6/23/2016,18.83
6/24/2016,19.39
6/25/2016,19.99
6/26/2016,20.9
6/27/2016,18.31
6/28/2016,18.88
6/29/2016,20.36
6/30/2016,21.05
7/1/2016,19.33
7/2/2016,19.03
7/3/2016,20.01
7/4/2016,20.02
7/5/2016,21.16
7/6/2016,21.11
7/7/2016,20.97
7/8/2016,20.29
7/9/2016,20.72
7/10/2016,20.15
7/11/2016,20.16
7/12/2016,21.72
7/13/2016,21.17
7/14/2016,19.98
7/15/2016,20.06
7/16/2016,20.85
7/17/2016,20.48
7/18/2016,20.73
7/19/2016,21.73
7/20/2016,21.6
7/21/2016,23.39
7/22/2016,23.38
7/23/2016,23.67
7/24/2016,22.7
7/25/2016,22.28
7/26/2016,23.64
7/27/2016,24.38
7/28/2016,23.45
7/29/2016,22.91
7/30/2016,23.49
7/31/2016,22.54
8/1/2016,22.45
8/2/2016,22.64
8/3/2016,22.01
8/4/2016,22.06
8/5/2016,20.57
8/6/2016,20.47
8/7/2016,21.74
8/8/2016,21.96
8/9/2016,22.21
8/10/2016,21.92
8/11/2016,21.7
8/12/2016,22.45
8/13/2016,21.89
8/14/2016,21.6
8/15/2016,21.71
8/16/2016,21.75
8/17/2016,22.01
8/18/2016,22.7
8/19/2016,22.74
8/20/2016,21.17
8/21/2016,20.18
8/22/2016,18.88
8/23/2016,19.86
8/24/2016,20.55
8/25/2016,19.98
8/26/2016,19.28
8/27/2016,18.34
8/28/2016,18.32
8/29/2016,18.61
8/30/2016,19.74
8/31/2016,18.85
9/1/2016,18.87
9/2/2016,18.53
9/3/2016,19.06
9/4/2016,19.82
9/5/2016,19.2
9/6/2016,18.19
9/7/2016,17.79
9/8/2016,16.74
9/9/2016,17.13
9/10/2016,16.69
9/11/2016,16.55
9/12/2016,17.49
9/13/2016,16.88
9/14/2016,15.23
9/15/2016,14.33
9/16/2016,15.32
9/17/2016,16.24
9/18/2016,15.12
9/19/2016,15.43
9/20/2016,14.88
9/21/2016,14.45
9/22/2016,14.49
9/23/2016,13.93
9/24/2016,13.42
9/25/2016,14.5
9/26/2016,14.98
9/27/2016,12.67
9/28/2016,12.04
9/29/2016,12.67
9/30/2016,12.64
10/1/2016,12.46
10/2/2016,13.6
10/3/2016,13.76
10/4/2016,14.95
10/5/2016,14.76
10/6/2016,13.41
10/7/2016,9.74
10/8/2016,8.81
10/9/2016,8.5
10/10/2016,8.2
10/12/2016,7.948
10/13/2016,6.825
10/14/2016,6.128
10/15/2016,6.886
10/16/2016,8.52
10/17/2016,6.976
10/18/2016,8.16
10/19/2016,7.689
10/20/2016,6.613
10/21/2016,6.656
10/22/2016,6.314
10/23/2016,6.653
10/24/2016,7.627
10/26/2016,6.177
10/27/2016,6.467
10/28/2016,6.821
10/29/2016,8.21
10/30/2016,7.011
10/31/2016,6.029
11/2/2016,6.378
11/3/2016,5.823
11/4/2016,5.836
11/5/2016,6.346
11/6/2016,6.759
11/7/2016,7.582
11/8/2016,8.32
11/9/2016,6.558
11/10/2016,6.846
11/11/2016,7.578
11/12/2016,5.026
11/13/2016,5.156
11/14/2016,5.558
11/15/2016,5.426
11/16/2016,5.996
11/17/2016,5.114
11/18/2016,4.447
11/19/2016,2.852
11/20/2016,1.747
11/21/2016,1.205
11/22/2016,0.7
11/23/2016,0.699
11/24/2016,0.955
11/25/2016,1.947
11/26/2016,2.278
11/27/2016,1.415
11/28/2016,1.014
11/29/2016,0.918
11/30/2016,1.109
12/1/2016,1.444
12/2/2016,1.584
12/3/2016,1.484
12/4/2016,1.37
12/5/2016,1.3
12/6/2016,1.399
12/7/2016,1.197
12/8/2016,0.722
12/9/2016,0.525
12/10/2016,0.249
12/11/2016,-0.872
12/12/2016,-2.835
12/13/2016,-3.968
12/14/2016,-5.092
12/15/2016,-6.32
12/16/2016,-6.851
12/17/2016,-7.013
12/18/2016,-8.84
12/19/2016,-9.86
12/20/2016,-6.625
12/21/2016,-4.213
12/22/2016,-4.266
12/23/2016,-3.621
12/24/2016,-4.279
12/25/2016,-5.616
12/26/2016,-6.093
12/27/2016,-4.81
12/28/2016,-5.003
12/29/2016,-4.837
12/30/2016,-4.108
12/31/2016,-4.622
1/1/2017,-4.334
1/2/2017,-3.874
1/3/2017,-4.105
1/4/2017,-4.823
1/5/2017,-6.537
1/6/2017,-7.554
1/7/2017,-7.56
1/8/2017,-7.535
1/9/2017,-8.09
1/10/2017,-8.01
1/11/2017,-6.724
1/12/2017,-5.935
1/13/2017,-6.391
1/14/2017,-7.278
1/15/2017,-7.27
1/16/2017,-6.724
1/17/2017,-6.062
1/18/2017,-5.815
1/19/2017,-5.06
1/20/2017,-4.429
1/21/2017,-4.023
1/22/2017,-3.112
1/23/2017,-2.291
1/24/2017,-1.804
1/25/2017,-1.89
1/26/2017,-2.256
1/27/2017,-2.881
1/28/2017,-3.297
1/29/2017,-3.026
1/30/2017,-3.07
1/31/2017,-3.082
2/1/2017,-2.637
2/2/2017,-4.001
2/3/2017,-5.265
2/4/2017,-5.774
2/5/2017,-5.85
2/6/2017,-6.09
2/7/2017,-5.66
2/8/2017,-5.391
2/9/2017,-6.363
2/10/2017,-7.017
2/11/2017,-6.263
2/12/2017,-5.927
2/13/2017,-5.396
2/14/2017,-4.674
2/15/2017,-4.029
2/16/2017,-4.469
2/17/2017,-4.146
2/18/2017,-3.39
2/19/2017,-1.812
2/20/2017,-1.036
2/21/2017,-0.796
2/22/2017,-0.67
2/23/2017,-0.581
2/24/2017,-0.508
2/25/2017,-0.573
2/26/2017,-1.641
2/27/2017,-2.941
2/28/2017,-3.701
3/1/2017,-4.933
3/2/2017,-5.103
3/3/2017,-6.264
3/4/2017,-7.253
3/5/2017,-4.942
3/6/2017,-3.125
3/7/2017,-1.882
3/8/2017,-2.961
3/9/2017,-5.547
3/10/2017,-7.776
3/11/2017,-10.39
3/12/2017,-10.01
3/13/2017,-8.57
3/14/2017,-8.56
3/15/2017,-7.565
3/16/2017,-5.367
3/17/2017,-2.768
3/18/2017,-1.57
3/19/2017,-2.848
3/20/2017,-1.467
3/21/2017,-0.937
3/22/2017,-1.348
3/23/2017,-2.815
3/24/2017,-1.953
3/25/2017,-0.934
3/26/2017,-0.699
3/27/2017,-0.594
3/28/2017,-0.504
3/29/2017,-0.434
3/30/2017,-0.364
3/31/2017,0.588
4/1/2017,0.844
4/2/2017,1.648
4/3/2017,2.939
4/4/2017,3.258
4/5/2017,3.08
4/6/2017,2.43
